GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
claims-service,com.smartcourier.claims.messaging,ClaimMessageConsumer,13,46,0,0,3,11,0,2,0,2
claims-service,com.smartcourier.claims.exception,GlobalExceptionHandler,0,54,0,0,0,12,0,5,0,5
claims-service,com.smartcourier.claims.controller,ClaimsController,45,30,0,0,9,6,4,3,4,3
claims-service,com.smartcourier.claims.config,OpenApiConfig,0,42,0,0,0,11,0,3,0,3
claims-service,com.smartcourier.claims.config,RoleHeaderFilter,40,3,6,0,9,1,4,1,1,1
claims-service,com.smartcourier.claims.config,SecurityConfig,0,149,0,0,0,23,0,5,0,5
claims-service,com.smartcourier.claims.config,RabbitMQConfig,0,25,0,0,0,5,0,5,0,5
claims-service,com.smartcourier.claims.service,ClaimsService,0,188,4,4,0,46,4,13,0,13
claims-service,com.smartcourier.claims.service,FileStorageUtil,10,55,1,3,3,11,1,3,0,2
claims-service,com.smartcourier.claims,ClaimsServiceApplication,5,3,0,0,2,1,1,1,1,1
